NICKstateNAME                   2007/ind/igate224.tou 20070112
NO'R --- Nuala O'Rourke         39 1739 19971127
MMIR --- Mario Miranda         110 1736 20030629
AMET --- Arun Methaseth        312 1735 20060702
JLAM --- John Lam              248 1735 20060702
AAZI --- Azmil Aziz             93 1735 20031214
JOMO --- Jack Omondi            66 1735 20030608
BMCD --- Brendan McDonnell      60 1734 20051119
JWAR --- Jim Warmington          8 1732 19991102
MMAN --- Maida Manaog          158 1731 20050626
PRAY --- Paloma Raychbart       78 1730 20051119
KZI  --- Kum Zi Peng            47 1730 20060702
BKPE --- Bennet Kpentey        120 1729 20060924
VIKA --- Victor Ikawa           48 1729 20050327
ACHU --- Albert Chune           21 1728 19971127
MZUC --- Maria Zucco             6 1728 19991031
FANT --- Ferdy Anthonius        75 1727 20060702
IBON --- Irland Bonzon          18 1727 19970526
CPET --- Chatchawin Petchlert  161 1726 20060702
GSAN --- Gbade Sanda            24 1726 20000423
NFIN --- Nicole Findlay         14 1725 19991102
JDE  --- Jose de Abreu          74 1724 20070112
MAKO --- Michael Akonor         48 1724 20060924
ABUD --- Anand Buddhdev         40 1724 20051119
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
VCHU --- Victor Chua            20 1723 20061205
AAJA --- Ademola Ajayi          24 1722 20061201
AHAM --- Andrew Hamblin         23 1722 19961125
NGRE --- Neil Green             36 1718 20061201
ARIV --- Ashby Rivera           26 1718 20020707
QSIM --- Quek Sim Ho           164 1716 20041219
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
KKUM --- Krishna Kumar          50 1714 20000528
CUME --- Cyril Umebiye          24 1714 20000423
PKAL --- Paul Kalumba           96 1713 20051119
DSIM --- Daniel Simonis         32 1713 20060930
EMEG --- Eileen Meghen          51 1711 20061201
FMAG --- Fred Magu              48 1711 20041003
CKEE --- Chris Keeley           16 1711 20030630
AABR --- Arvind Abraham        221 1710 20060609
ABRA --- Andrew Bradley         48 1710 20041126
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
TCHA --- Travis Chaney          17 1707 20050703
GLAW --- Glenys Lawrie          24 1706 20001126
SBOO --- Surachaste Boonya     109 1705 20041219
MDEM --- Martin DeMello        126 1705 20070112
MRAN --- Mario Ranasuriya      127 1704 20030803
MFIL --- Maricris Filio         18 1703 19970526
ARIC --- Alastair Richards     163 1702 20061205
CHAN --- Chew Han Ei            80 1702 20061205
NOMA --- Nadeem Omar            18 1702 19980920
DCAL --- Debbie Caldwell        48 1701 20061106
MSUL --- Mohammed Sulaiman      35 1701 20040109
DSRI --- Daniel Srichawla       81 1700 20060702
PARR --- Peter Arreola          75 1700 20030629
PRIC --- Paul Richards          73 1700 20061129
IADD --- Isaac Addo             24 1700 20000423
SKYA --- Sue Kyatt              64 1698 20021118
MMAN --- Mensah Mantey          24 1697 20000423
CWOR --- Charae Worapotpisut   188 1696 20060702
TTER --- Thien Termpaisit      175 1695 20060702
JMAN --- Joash Manyasa          90 1695 20050327
OMAG --- Onani Magwanga         90 1695 20050327
MRIV --- Marcelo Rivera         18 1692 19970526
TLIE --- Thong Liew Kee         73 1691 20010505
ICHI --- Ishtiaq Chishty       294 1690 20060702
SKIT --- Suwit Kitkarn          28 1690 20000705
VBAL --- Vannitha Balasingam   158 1689 20070112
KISS --- Kittikorn Issar        52 1689 20020707
BKOY --- Bernard Koyyoko        42 1689 20041003
DNG  --- David  Ng              23 1689 19990627
ACLI --- Audree Clifton          8 1689 19991102
SDAV --- Sheryl Davidson        61 1688 19991102
EJAR --- Elisabeth Jardine      16 1687 20030630
AJUL --- Auka Julius            66 1686 20050327
ARUI --- Ador Ruiz              36 1686 19980920
SYEN --- Shim Yen Nee          142 1685 20061205
LWON --- Leonard Wong          102 1685 20010505
JMUH --- Joe Muhd               57 1684 20000521
JMCG --- Jean McGiffen          27 1684 20000528
SVIJ --- Sinna Vijayakumar      13 1684 20050925
CRUT --- Cecilia Ruto          167 1683 20050327
OSUA --- Ong Suanne            138 1683 20061201
SMOR --- Sandra Morgan          54 1683 20050626
TAYO --- Tolani Ayo-Awojobi     73 1682 20021020
DGOR --- Denise Gordon          49 1681 20020707
YASA --- Yaw Asante             24 1681 20000423
WUSA --- Wojciech Usakiewicz    40 1680 20030630
CCRE --- Chris Cree             24 1680 20011216
NMBU --- Nicholas Mbugua        48 1679 20050327
HMOR --- Henry Morara           24 1679 20021020
SSUR --- Sumith Suriyaroj       54 1678 20010701
WJIT --- Wissavich Jitthav      28 1678 20000705
NDEC --- Noppadol Dechat        27 1678 20060702
TTAN --- Thomas Tan             37 1677 20041219
SCHE --- Santi Cherdchaid       23 1676 19990627
DKAN --- David Kangethe         90 1675 20050327
TCHU --- Thanawat Chumai        26 1673 20010701
PPIT --- Pornthep Pithachok     12 1672 20000705
SHEM --- Sanath Hemachandra    158 1671 20060609
GMOO --- Gerry Moore            24 1669 19980412
YLOB --- Yvonne Lobo            21 1666 19971127
GHAL --- Glennis Hale          169 1665 20061106
IGON --- Irineu Gonsalves      111 1664 20070112
AHEM --- Apithai Hemachudha    132 1662 20060702
RAND --- Richard Andabwa        47 1662 19990627
PPIT --- Prachya Pitapho       158 1660 20060702
JBAR --- John Barker            17 1660 20061129
TASR --- Tengku Asri           201 1659 20061205
ECHI --- Emanuel Chicoine       37 1659 20050925
MBOL --- M Bola                 24 1656 20000423
SMID --- Samson Midigo          66 1653 20030608
KMEE --- Khen Meerding          27 1653 20000528
TJIN --- Tan Jin Chor          369 1651 20061205
DDAV --- Dianne Davis           14 1651 19991102
